subject,fuzzer,fuzzer_label,elapsed_min,value,runs
kamailio,chatafl,ChatAFL,840,109.5,10
kamailio,chatafl,ChatAFL,900,110.1,10
kamailio,chatafl,ChatAFL,960,110.8,10
kamailio,chatafl,ChatAFL,1020,111.2,10
kamailio,chatafl,ChatAFL,1080,111.7,10
kamailio,chatafl,ChatAFL,1140,112.0,10
kamailio,chatafl,ChatAFL,1200,112.6,10
kamailio,chatafl,ChatAFL,1260,113.5,10
kamailio,chatafl,ChatAFL,1320,113.8,10
kamailio,chatafl,ChatAFL,1380,114.4,10
kamailio,chatafl,ChatAFL,1440,115.0,10
kamailio,chatafl_opt,LoopFuzz,0,16.7,10
kamailio,chatafl_opt,LoopFuzz,60,67.2,10
kamailio,chatafl_opt,LoopFuzz,120,86.6,10
kamailio,chatafl_opt,LoopFuzz,180,97.6,10
kamailio,chatafl_opt,LoopFuzz,240,102.0,10
kamailio,chatafl_opt,LoopFuzz,300,105.3,10
kamailio,chatafl_opt,LoopFuzz,360,107.5,10
kamailio,chatafl_opt,LoopFuzz,420,109.4,10
kamailio,chatafl_opt,LoopFuzz,480,110.9,10
kamailio,chatafl_opt,LoopFuzz,540,113.1,10
kamailio,chatafl_opt,LoopFuzz,600,114.2,10
kamailio,chatafl_opt,LoopFuzz,660,115.0,10
kamailio,chatafl_opt,LoopFuzz,720,116.3,10
kamailio,chatafl_opt,LoopFuzz,780,116.8,10
kamailio,chatafl_opt,LoopFuzz,840,118.4,10
kamailio,chatafl_opt,LoopFuzz,900,120.1,10
kamailio,chatafl_opt,LoopFuzz,960,120.6,10
kamailio,chatafl_opt,LoopFuzz,1020,121.4,10
kamailio,chatafl_opt,LoopFuzz,1080,122.3,10
kamailio,chatafl_opt,LoopFuzz,1140,123.1,10
kamailio,chatafl_opt,LoopFuzz,1200,123.7,10
kamailio,chatafl_opt,LoopFuzz,1260,123.9,10
kamailio,chatafl_opt,LoopFuzz,1320,124.9,10
kamailio,chatafl_opt,LoopFuzz,1380,125.5,10
kamailio,chatafl_opt,LoopFuzz,1440,127.4,10
forked-daapd,aflnet,AFLNet,0,7.0,10
forked-daapd,aflnet,AFLNet,60,11.9,10
forked-daapd,aflnet,AFLNet,120,15.3,10
forked-daapd,aflnet,AFLNet,180,17.4,10
