subject,fuzzer,fuzzer_label,elapsed_min,value,runs
kamailio,aflnet,AFLNet,780,9998.0,10
kamailio,aflnet,AFLNet,840,10027.2,10
kamailio,aflnet,AFLNet,900,10040.9,10
kamailio,aflnet,AFLNet,960,10065.9,10
kamailio,aflnet,AFLNet,1020,10086.5,10
kamailio,aflnet,AFLNet,1080,10117.7,10
kamailio,aflnet,AFLNet,1140,10138.3,10
kamailio,aflnet,AFLNet,1200,10160.0,10
kamailio,aflnet,AFLNet,1260,10174.2,10
kamailio,aflnet,AFLNet,1320,10183.2,10
kamailio,aflnet,AFLNet,1380,10211.5,10
kamailio,aflnet,AFLNet,1440,10236.4,10
kamailio,chatafl,ChatAFL,0,4983.7,10
kamailio,chatafl,ChatAFL,60,9014.1,10
kamailio,chatafl,ChatAFL,120,9414.9,10
kamailio,chatafl,ChatAFL,180,9618.8,10
kamailio,chatafl,ChatAFL,240,9740.9,10
kamailio,chatafl,ChatAFL,300,9842.0,10
kamailio,chatafl,ChatAFL,360,9905.2,10
kamailio,chatafl,ChatAFL,420,9964.1,10
kamailio,chatafl,ChatAFL,480,10009.1,10
kamailio,chatafl,ChatAFL,540,10046.8,10
kamailio,chatafl,ChatAFL,600,10073.6,10
kamailio,chatafl,ChatAFL,660,10104.5,10
kamailio,chatafl,ChatAFL,720,10140.6,10
kamailio,chatafl,ChatAFL,780,10161.7,10
kamailio,chatafl,ChatAFL,840,10191.8,10
kamailio,chatafl,ChatAFL,900,10205.3,10
kamailio,chatafl,ChatAFL,960,10214.8,10
kamailio,chatafl,ChatAFL,1020,10227.7,10
kamailio,chatafl,ChatAFL,1080,10234.7,10
kamailio,chatafl,ChatAFL,1140,10245.0,10
kamailio,chatafl,ChatAFL,1200,10255.5,10
kamailio,chatafl,ChatAFL,1260,10268.0,10
kamailio,chatafl,ChatAFL,1320,10292.0,10
kamailio,chatafl,ChatAFL,1380,10295.7,10
kamailio,chatafl,ChatAFL,1440,10303.7,10
kamailio,chatafl_opt,LoopFuzz,0,5267.6,10
kamailio,chatafl_opt,LoopFuzz,60,9069.9,10
kamailio,chatafl_opt,LoopFuzz,120,9426.2,10
kamailio,chatafl_opt,LoopFuzz,180,9651.2,10
kamailio,chatafl_opt,LoopFuzz,240,9791.4,10
kamailio,chatafl_opt,LoopFuzz,300,9884.1,10
kamailio,chatafl_opt,LoopFuzz,360,9948.9,10
kamailio,chatafl_opt,LoopFuzz,420,10018.6,10
kamailio,chatafl_opt,LoopFuzz,480,10062.8,10
kamailio,chatafl_opt,LoopFuzz,540,10096.1,10
kamailio,chatafl_opt,LoopFuzz,600,10129.7,10
kamailio,chatafl_opt,LoopFuzz,660,10148.0,10
kamailio,chatafl_opt,LoopFuzz,720,10173.5,10
kamailio,chatafl_opt,LoopFuzz,780,10194.8,10
kamailio,chatafl_opt,LoopFuzz,840,10211.9,10
kamailio,chatafl_opt,LoopFuzz,900,10233.3,10
kamailio,chatafl_opt,LoopFuzz,960,10252.2,10
